County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
ROBERTSON COUNTY,395,All Ages,17708,8808,8900,9945,4963,4982,3468,1677,1791,112,61,51,235,114,121,3948,1993,1955
ROCKWALL COUNTY,397,All Ages,103363,50575,52788,73427,35611,37816,6336,3186,3150,2918,1284,1634,2136,1074,1062,18546,9420,9126
RUNNELS COUNTY,399,All Ages,10121,5096,5025,6128,2965,3163,159,90,69,16,11,5,154,84,70,3664,1946,1718
RUSK COUNTY,401,All Ages,54526,28541,25985,34376,17458,16918,9046,5083,3963,220,107,113,1168,599,569,9716,5294,4422
SABINE COUNTY,403,All Ages,10917,5383,5534,9098,4461,4637,855,444,411,42,13,29,389,190,199,533,275,258
SAN AUGUSTINE COUNTY,405,All Ages,8458,4062,4396,5672,2718,2954,1977,930,1047,21,8,13,120,52,68,668,354,314
SAN JACINTO COUNTY,407,All Ages,29506,14769,14737,21515,10795,10720,2879,1440,1439,136,69,67,635,326,309,4341,2139,2202
SAN PATRICIO COUNTY,409,All Ages,66688,33619,33069,25322,12895,12427,932,500,432,524,230,294,957,447,510,38953,19547,19406
SAN SABA COUNTY,411,All Ages,6227,3342,2885,3975,2004,1971,204,192,12,11,6,5,86,36,50,1951,1104,847
SCHLEICHER COUNTY,413,All Ages,2822,1449,1373,1210,613,597,30,11,19,5,2,3,16,7,9,1561,816,745
SCURRY COUNTY,415,All Ages,16697,9095,7602,8521,4515,4006,713,515,198,64,30,34,207,94,113,7192,3941,3251
SHACKELFORD COUNTY,417,All Ages,3382,1631,1751,2926,1395,1531,15,9,6,13,3,10,49,28,21,379,196,183
SHELBY COUNTY,419,All Ages,24249,12010,12239,14772,7319,7453,4120,1891,2229,138,69,69,330,156,174,4889,2575,2314
SHERMAN COUNTY,421,All Ages,3077,1578,1499,1599,810,789,13,12,1,5,4,1,34,19,15,1426,733,693
SMITH COUNTY,423,All Ages,231516,111660,119856,136782,65504,71278,39341,18434,20907,3850,1942,1908,4913,2403,2510,46630,23377,23253
SOMERVELL COUNTY,425,All Ages,9569,4689,4880,7161,3489,3672,61,32,29,51,27,24,201,81,120,2095,1060,1035
STARR COUNTY,427,All Ages,63690,31183,32507,2698,1366,1332,19,17,2,121,55,66,67,36,31,60785,29709,31076
STEPHENS COUNTY,429,All Ages,9556,5040,4516,6685,3473,3212,199,134,65,46,26,20,159,84,75,2467,1323,1144
STERLING COUNTY,431,All Ages,1254,626,628,797,389,408,10,9,1,0,0,0,32,16,16,415,212,203
STONEWALL COUNTY,433,All Ages,1382,668,714,1086,529,557,29,15,14,12,4,8,22,9,13,233,111,122
SUTTON COUNTY,435,All Ages,3664,1861,1803,1325,689,636,2,2,0,8,4,4,20,12,8,2309,1154,1155
SWISHER COUNTY,437,All Ages,7439,3986,3453,3418,1699,1719,599,415,184,7,2,5,140,71,69,3275,1799,1476
TARRANT COUNTY,439,All Ages,2060239,1006919,1053320,948033,461597,486436,336986,158529,178457,116598,56827,59771,60716,30409,30307,597906,299557,298349
TAYLOR COUNTY,441,All Ages,139044,67899,71145,86257,41895,44362,10011,5178,4833,2706,1057,1649,4858,2485,2373,35212,17284,17928
TERRELL COUNTY,443,All Ages,794,388,406,397,198,199,5,3,2,1,1,0,11,3,8,380,183,197
TERRY COUNTY,445,All Ages,12544,6739,5805,4892,2663,2229,575,381,194,23,6,17,114,62,52,6940,3627,3313
THROCKMORTON COUNTY,447,All Ages,1448,720,728,1225,616,609,6,4,2,7,3,4,18,8,10,192,89,103
TITUS COUNTY,449,All Ages,33690,16525,17165,14847,7161,7686,3291,1556,1735,258,107,151,573,261,312,14721,7440,7281
TOM GREEN COUNTY,451,All Ages,117613,59280,58333,59970,30094,29876,4434,2559,1875,1249,619,630,2470,1290,1180,49490,24718,24772
TRAVIS COUNTY,453,All Ages,1273554,640076,633478,608874,305806,303068,104003,51206,52797,83467,41546,41921,34523,17098,17425,442687,224420,218267
TRINITY COUNTY,455,All Ages,14530,7070,7460,11419,5572,5847,1432,654,778,43,13,30,318,123,195,1318,708,610
TYLER COUNTY,457,All Ages,22735,12321,10414,17851,9074,8777,2619,1667,952,51,20,31,519,264,255,1695,1296,399
UPSHUR COUNTY,459,All Ages,41204,20520,20684,32532,16223,16309,3247,1560,1687,164,70,94,1183,600,583,4078,2067,2011
UPTON COUNTY,461,All Ages,3619,1856,1763,1478,756,722,46,23,23,0,0,0,51,29,22,2044,1048,996
UVALDE COUNTY,463,All Ages,26743,13160,13583,6725,3335,3390,115,79,36,116,54,62,261,131,130,19526,9561,9965
VAL VERDE COUNTY,465,All Ages,50853,26054,24799,7762,4265,3497,636,373,263,222,104,118,518,285,233,41715,21027,20688
VAN ZANDT COUNTY,467,All Ages,56376,27780,28596,47008,23003,24005,1587,800,787,232,98,134,1412,700,712,6137,3179,2958
VICTORIA COUNTY,469,All Ages,91329,45269,46060,40448,19746,20702,5480,2775,2705,1018,505,513,1461,713,748,42922,21530,21392
WALKER COUNTY,471,All Ages,75949,44602,31347,41911,23664,18247,17221,10912,6309,775,394,381,1409,715,694,14633,8917,5716
WALLER COUNTY,473,All Ages,54822,27525,27297,23976,11974,12002,12848,6071,6777,283,144,139,832,416,416,16883,8920,7963
WARD COUNTY,475,All Ages,11530,5826,5704,4286,2182,2104,499,255,244,36,13,23,149,73,76,6560,3303,3257
WASHINGTON COUNTY,477,All Ages,35570,17536,18034,22487,10915,11572,6077,3004,3073,475,221,254,480,223,257,6051,3173,2878
WEBB COUNTY,479,All Ages,280775,137478,143297,11443,6190,5253,639,413,226,1513,754,759,566,313,253,266614,129808,136806
WHARTON COUNTY,481,All Ages,41224,20299,20925,17910,8682,9228,5151,2435,2716,186,93,93,410,210,200,17567,8879,8688
WHEELER COUNTY,483,All Ages,5178,2587,2591,3446,1705,1741,104,54,50,24,7,17,113,53,60,1491,768,723
WICHITA COUNTY,485,All Ages,132920,68743,64177,85585,43659,41926,13364,7375,5989,2869,1336,1533,4320,2197,2123,26782,14176,12606
WILBARGER COUNTY,487,All Ages,12465,6205,6260,6976,3409,3567,1097,571,526,118,53,65,388,192,196,3886,1980,1906
WILLACY COUNTY,489,All Ages,21566,11810,9756,1894,1011,883,383,343,40,123,98,25,104,58,46,19062,10300,8762
WILLIAMSON COUNTY,491,All Ages,589216,288904,300312,346411,169409,177002,37300,18531,18769,40890,19619,21271,18061,9188,8873,146554,72157,74397
WILSON COUNTY,493,All Ages,52127,26496,25631,29615,15024,14591,719,385,334,163,48,115,701,360,341,20929,10679,10250
WINKLER COUNTY,495,All Ages,7990,4220,3770,2778,1424,1354,148,66,82,18,8,10,154,87,67,4892,2635,2257
WISE COUNTY,497,All Ages,69609,34805,34804,53296,26373,26923,679,452,227,288,122,166,1478,715,763,13868,7143,6725
WOOD COUNTY,499,All Ages,45084,22573,22511,36874,18239,18635,2315,1233,1082,193,94,99,937,471,466,4765,2536,2229
YOAKUM COUNTY,501,All Ages,8829,4426,4403,2625,1280,1345,62,30,32,24,13,11,102,53,49,6016,3050,2966
YOUNG COUNTY,503,All Ages,19029,9381,9648,14495,7047,7448,236,124,112,65,22,43,362,176,186,3871,2012,1859
